                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31989,                0.19466,                0.82504,                0.86862,                0.94354,                0.96865,                0.83549,                0.53739,                0.43778,                0.96368,               0.006535,               0.006535,               0.006535
                     37,                0.31964,                0.19284,                0.82434,                0.88177,                 0.9576,                0.97151,                0.83718,                0.53829,                0.41381,                0.96261,               0.006436,               0.006436,               0.006436
                     38,                0.31348,                0.19114,                0.82356,                0.85428,                0.95057,                 0.9661,                0.83618,                 0.5323,                0.44556,                0.95964,               0.006337,               0.006337,               0.006337
                     39,                0.31013,                0.18874,                0.82289,                0.87737,                0.94464,                0.97197,                 0.8396,                0.53194,                 0.4369,                0.95799,               0.006238,               0.006238,               0.006238
                     40,                0.31046,                0.18818,                0.82057,                0.86587,                 0.9532,                0.97156,                0.83865,                0.53942,                0.43149,                0.96694,               0.006139,               0.006139,               0.006139
                     41,                 0.3069,                0.18575,                0.82128,                0.85496,                0.95196,                0.96734,                0.83481,                0.53858,                0.46442,                0.96655,                0.00604,                0.00604,                0.00604
                     42,                0.30665,                0.18703,                0.82211,                0.85359,                  0.944,                0.96559,                0.83297,                0.54333,                0.45473,                0.96933,               0.005941,               0.005941,               0.005941
                     43,                0.30482,                0.18348,                0.81977,                0.86794,                0.93834,                0.96725,                0.83504,                0.54074,                0.42958,                0.96676,               0.005842,               0.005842,               0.005842
                     44,                0.30101,                0.18274,                0.81942,                 0.8639,                0.94222,                0.96673,                0.83468,                0.53717,                0.44274,                 0.9709,               0.005743,               0.005743,               0.005743
                     45,                0.29736,                0.18098,                0.81764,                0.87341,                0.94573,                0.97003,                0.83673,                0.54297,                0.43873,                0.97142,               0.005644,               0.005644,               0.005644
                     46,                0.29548,                0.17963,                0.81735,                0.86638,                0.94591,                0.96849,                0.83552,                0.53615,                0.44417,                0.97178,               0.005545,               0.005545,               0.005545
                     47,                0.29229,                0.17839,                0.81843,                0.86744,                0.95173,                 0.9709,                0.83802,                 0.5343,                0.42947,                0.97488,               0.005446,               0.005446,               0.005446
                     48,                0.28959,                0.17718,                0.81652,                0.86383,                0.95285,                   0.97,                0.83724,                0.53752,                 0.4654,                0.97168,               0.005347,               0.005347,               0.005347
                     49,                0.29149,                0.17722,                0.81693,                0.87198,                0.95152,                0.97121,                0.83753,                0.54151,                0.44492,                0.97622,               0.005248,               0.005248,               0.005248
                     50,                0.28584,                0.17506,                0.81674,                0.86042,                0.95196,                0.96894,                0.83706,                0.54507,                0.47044,                0.97686,               0.005149,               0.005149,               0.005149
                     51,                0.28204,                 0.1748,                0.81523,                0.86446,                0.95401,                0.96886,                0.83535,                0.53988,                0.43783,                0.97626,                0.00505,                0.00505,                0.00505
                     52,                0.28022,                0.17133,                0.81328,                0.86432,                 0.9546,                0.97106,                0.83698,                0.54252,                0.45948,                0.97322,               0.004951,               0.004951,               0.004951
                     53,                0.27833,                0.17023,                0.81371,                0.85715,                 0.9554,                0.96896,                0.83757,                0.53508,                 0.4475,                0.97402,               0.004852,               0.004852,               0.004852
                     54,                0.27339,                0.16682,                0.81203,                0.86435,                 0.9565,                0.97102,                0.83733,                 0.5421,                0.43486,                0.97718,               0.004753,               0.004753,               0.004753
                     55,                0.27282,                0.16756,                0.81239,                0.86693,                0.95472,                 0.9713,                0.83693,                0.54213,                0.43903,                0.97773,               0.004654,               0.004654,               0.004654
                     56,                0.27147,                0.16494,                0.81181,                0.85926,                0.95569,                0.96919,                0.83633,                0.53867,                0.43474,                0.97696,               0.004555,               0.004555,               0.004555
                     57,                0.26914,                0.16511,                0.81177,                0.86076,                 0.9548,                0.96838,                0.83663,                0.53527,                 0.4392,                0.97638,               0.004456,               0.004456,               0.004456
                     58,                0.26844,                0.16482,                 0.8118,                 0.8621,                0.95518,                0.96837,                0.83761,                0.53706,                0.44244,                0.97655,               0.004357,               0.004357,               0.004357
                     59,                0.26521,                 0.1652,                0.81119,                0.86627,                0.95735,                0.96949,                0.83802,                0.53943,                0.43374,                0.97718,               0.004258,               0.004258,               0.004258
                     60,                0.26165,                0.16127,                0.81056,                0.86739,                0.95757,                   0.97,                0.83759,                  0.537,                0.42893,                0.97811,               0.004159,               0.004159,               0.004159
                     61,                0.26044,                0.15971,                0.81024,                 0.8668,                0.95774,                0.96994,                0.83775,                0.53758,                0.43495,                0.97952,                0.00406,                0.00406,                0.00406
